date,price,daily_return
2017-04-26,17.00402,0.00889
2017-04-27,17.07512,0.00418
2017-04-28,17.2538,0.01046
2017-05-01,17.28262,0.00167
2017-05-02,17.2538,-0.00167
2017-05-03,17.24419,-0.00056
2017-05-04,17.28262,0.00223
2017-05-05,17.42673,0.00834
2017-05-08,17.45554,0.00165
2017-05-09,17.40079,-0.00314
2017-05-10,17.38829,-0.00072
2017-05-11,17.31144,-0.00442
2017-05-12,17.37869,0.00388
2017-05-15,17.46515,0.00498
2017-05-16,17.5324,0.00385
2017-05-17,17.30184,-0.01315
2017-05-18,17.26341,-0.00222
2017-05-19,17.51318,0.01447
2017-05-22,17.69571,0.01042
2017-05-23,17.70532,0.00054
2017-05-24,17.65729,-0.00271
2017-05-25,17.79178,0.00762
2017-05-26,17.77257,-0.00108
2017-05-30,17.85903,0.00486
2017-05-31,17.87824,0.00108
2017-06-01,18.14723,0.01505
2017-06-02,18.35858,0.01165
2017-06-05,18.40662,0.00262
2017-06-06,18.31055,-0.00522
2017-06-07,18.34898,0.0021
2017-06-08,18.33937,-0.00052
2017-06-09,18.19526,-0.00786
2017-06-12,18.00313,-0.01056
2017-06-13,18.08959,0.0048
2017-06-14,18.06077,-0.00159
2017-06-15,17.811,-0.01383
2017-06-16,17.89746,0.00485
2017-06-19,18.10881,0.01181
2017-06-20,18.10881,0.0
2017-06-21,18.18566,0.00424
2017-06-22,18.17605,-0.00053
2017-06-23,18.19526,0.00106
2017-06-26,18.20007,0.00026
2017-06-27,18.0992,-0.00554
2017-06-28,18.11841,0.00106
2017-06-29,17.90706,-0.01166
2017-06-30,17.92532,0.00102
2017-07-03,17.83982,-0.00477
2017-07-05,17.8206,-0.00108
2017-07-06,17.73414,-0.00485
2017-07-07,17.89746,0.00921
2017-07-10,17.99353,0.00537
2017-07-11,18.12802,0.00747
2017-07-12,18.33937,0.01166
2017-07-13,18.32976,-0.00052
2017-07-14,18.50268,0.00943
2017-07-17,18.44985,-0.00286
2017-07-18,18.5219,0.00391
2017-07-19,18.56032,0.00207
2017-07-20,18.666,0.00569
2017-07-21,18.8101,0.00772
2017-07-24,18.8005,-0.00051
2017-07-25,18.82931,0.00153
2017-07-26,18.93499,0.00561
2017-07-27,19.01185,0.00406
2017-07-28,19.12713,0.00606
2017-07-31,19.0983,-0.00151
2017-08-01,19.15595,0.00302
2017-08-02,19.26162,0.00552
2017-08-03,19.2328,-0.0015
2017-08-04,19.2328,0.0
2017-08-07,19.30965,0.004
2017-08-08,19.28083,-0.00149
2017-08-09,19.30005,0.001
2017-08-10,18.97342,-0.01692
2017-08-11,18.93019,-0.00228
2017-08-14,19.21359,0.01497
2017-08-15,19.22319,0.0005
2017-08-16,19.30965,0.0045
2017-08-17,19.28083,-0.00149
2017-08-18,19.26162,-0.001
2017-08-21,19.2328,-0.0015
2017-08-22,19.47297,0.01249
2017-08-23,19.5114,0.00197
2017-08-24,19.45376,-0.00295
2017-08-25,19.38651,-0.00346
2017-08-28,19.48258,0.00496
2017-08-29,19.5114,0.00148
2017-08-30,19.56904,0.00295
2017-08-31,19.69393,0.00638
2017-09-01,19.80921,0.00585
2017-09-05,19.72275,-0.00436
2017-09-06,19.78039,0.00292
2017-09-07,19.9341,0.00777
2017-09-08,20.04938,0.00578
2017-09-11,20.30876,0.01294
2017-09-12,20.44326,0.00662
2017-09-13,20.3664,-0.00376
2017-09-14,20.44326,0.00377
2017-09-15,20.58736,0.00705
2017-09-18,20.76989,0.00887
2017-09-19,20.88517,0.00555
2017-09-20,21.00045,0.00552
2017-09-21,20.65461,-0.01647
2017-09-22,20.60657,-0.00233
2017-09-25,20.58736,-0.00093
2017-09-26,20.38562,-0.0098
2017-09-27,20.58736,0.0099
2017-09-28,20.73146,0.007
2017-09-29,20.89478,0.00788
2017-10-02,21.05809,0.00782
2017-10-03,21.2118,0.0073
2017-10-04,21.26944,0.00272
2017-10-05,21.2118,-0.00271
2017-10-06,21.08691,-0.00589
2017-10-09,21.2022,0.00547
2017-10-10,21.30787,0.00498
2017-10-11,21.42315,0.00541
2017-10-12,21.56725,0.00673
2017-10-13,21.89388,0.01514
2017-10-16,21.98034,0.00395
2017-10-17,22.17248,0.00874
2017-10-18,22.17248,0.0
2017-10-19,22.04759,-0.00563
2017-10-20,22.1917,0.00654
2017-10-23,22.47029,0.01255
2017-10-24,22.72007,0.01112
2017-10-25,22.53753,-0.00803
2017-10-26,22.03798,-0.02217
2017-10-27,22.15326,0.00523
2017-10-30,22.37423,0.00997
2017-10-31,22.67203,0.01331
2017-11-01,22.72007,0.00212
2017-11-02,22.63361,-0.00381
2017-11-03,22.71046,0.0034
2017-11-06,22.87378,0.00719
2017-11-07,23.15237,0.01218
2017-11-08,23.34451,0.0083
2017-11-09,23.02748,-0.01358
2017-11-10,23.11394,0.00375
2017-11-13,22.95063,-0.00707
2017-11-14,22.89299,-0.00251
2017-11-15,22.61439,-0.01217
2017-11-16,23.10434,0.02167
2017-11-17,23.12355,0.00083
2017-11-20,23.29647,0.00748
2017-11-21,23.63271,0.01443
2017-11-22,23.7576,0.00528
2017-11-24,23.91131,0.00647
2017-11-27,23.83445,-0.00321
2017-11-28,23.71917,-0.00484
2017-11-29,23.23883,-0.02025
2017-11-30,22.96984,-0.01158
2017-12-01,22.9026,-0.00293
2017-12-04,22.44147,-0.02013
2017-12-05,22.35501,-0.00385
2017-12-06,22.31658,-0.00172
2017-12-07,22.58557,0.01205
2017-12-08,22.66243,0.0034
2017-12-11,22.55676,-0.00466
2017-12-12,22.41265,-0.00639
2017-12-13,22.22051,-0.00857
2017-12-14,22.12445,-0.00432
2017-12-15,22.39344,0.01216
2017-12-18,22.80653,0.01845
2017-12-19,22.624,-0.008
2017-12-20,22.68164,0.00255
2017-12-21,22.74889,0.00296
2017-12-22,22.83535,0.0038
2017-12-26,22.94102,0.00463
2017-12-27,22.97945,0.00168
2017-12-28,22.91412,-0.00284
2017-12-29,22.77001,-0.00629
2018-01-02,23.05823,0.01266
