date,price,daily_return,paper_count
2017-07-26,18.93499,0.00561,15
2017-07-27,19.01184,0.00406,21
2017-07-28,19.12712,0.00606,8
2017-07-31,19.0983,-0.00151,9
2017-08-01,19.15595,0.00302,9
2017-08-02,19.26162,0.00552,9
2017-08-03,19.2328,-0.0015,6
2017-08-04,19.2328,0.0,10
2017-08-07,19.30965,0.004,10
2017-08-08,19.28083,-0.00149,8
2017-08-09,19.30005,0.001,10
2017-08-10,18.97342,-0.01692,8
2017-08-11,18.93019,-0.00228,7
2017-08-14,19.21358,0.01497,12
2017-08-15,19.2232,0.0005,10
2017-08-16,19.30965,0.0045,9
2017-08-17,19.28083,-0.00149,11
2017-08-18,19.26162,-0.001,4
2017-08-21,19.2328,-0.0015,8
2017-08-22,19.47297,0.01249,5
2017-08-23,19.5114,0.00197,5
2017-08-24,19.45376,-0.00295,4
2017-08-25,19.38651,-0.00346,8
2017-08-28,19.48258,0.00496,8
2017-08-29,19.5114,0.00148,5
2017-08-30,19.56904,0.00295,6
2017-08-31,19.69393,0.00638,2
2017-09-01,19.80921,0.00585,6
2017-09-05,19.72275,-0.00436,9
2017-09-06,19.78039,0.00292,6
2017-09-07,19.9341,0.00777,8
2017-09-08,20.04938,0.00578,9
2017-09-11,20.30876,0.01294,11
2017-09-12,20.44326,0.00662,13
2017-09-13,20.3664,-0.00376,7
2017-09-14,20.44326,0.00377,16
2017-09-15,20.58736,0.00705,14
2017-09-18,20.76989,0.00887,14
2017-09-19,20.88517,0.00555,8
2017-09-20,21.00045,0.00552,11
2017-09-21,20.65461,-0.01647,13
2017-09-22,20.60657,-0.00233,9
2017-09-25,20.58736,-0.00093,10
2017-09-26,20.38562,-0.0098,10
2017-09-27,20.58736,0.0099,8
2017-09-28,20.73146,0.007,9
2017-09-29,20.89477,0.00788,11
2017-10-02,21.05809,0.00782,7
2017-10-03,21.2118,0.0073,9
2017-10-04,21.26944,0.00272,4
2017-10-05,21.2118,-0.00271,6
2017-10-06,21.08692,-0.00589,7
2017-10-09,21.2022,0.00547,4
2017-10-10,21.30787,0.00498,11
2017-10-11,21.42315,0.00541,8
2017-10-12,21.56725,0.00673,7
2017-10-13,21.89388,0.01514,5
2017-10-16,21.98035,0.00395,5
2017-10-17,22.17248,0.00874,10
2017-10-18,22.17248,0.0,9
2017-10-19,22.04759,-0.00563,3
2017-10-20,22.1917,0.00654,8
2017-10-23,22.47029,0.01255,9
2017-10-24,22.72006,0.01112,6
2017-10-25,22.53754,-0.00803,5
2017-10-26,22.03798,-0.02217,9
2017-10-27,22.15326,0.00523,14
2017-10-30,22.37422,0.00997,6
2017-10-31,22.67203,0.01331,11
2017-11-01,22.72006,0.00212,11
2017-11-02,22.6336,-0.00381,6
2017-11-03,22.71046,0.0034,8
2017-11-06,22.87378,0.00719,10
2017-11-07,23.15237,0.01218,8
2017-11-08,23.34451,0.0083,13
2017-11-09,23.02748,-0.01358,14
2017-11-10,23.11394,0.00375,11
2017-11-13,22.95063,-0.00707,15
2017-11-14,22.89299,-0.00251,17
2017-11-15,22.61439,-0.01217,9
2017-11-16,23.10434,0.02167,17
2017-11-17,23.12356,0.00083,10
2017-11-20,23.29647,0.00748,18
2017-11-21,23.63271,0.01443,23
2017-11-22,23.7576,0.00528,15
2017-11-24,23.91131,0.00647,4
2017-11-27,23.83446,-0.00321,13
2017-11-28,23.71917,-0.00484,20
2017-11-29,23.23883,-0.02025,10
2017-11-30,22.96984,-0.01158,16
2017-12-01,22.9026,-0.00293,7
2017-12-04,22.44147,-0.02013,13
2017-12-05,22.35501,-0.00385,14
2017-12-06,22.31658,-0.00172,8
2017-12-07,22.58557,0.01205,4
2017-12-08,22.66242,0.0034,9
2017-12-11,22.55675,-0.00466,13
2017-12-12,22.41265,-0.00639,12
2017-12-13,22.22051,-0.00857,6
2017-12-14,22.12444,-0.00432,8
2017-12-15,22.39343,0.01216,6
2017-12-18,22.80653,0.01845,10
2017-12-19,22.624,-0.008,9
2017-12-20,22.68164,0.00255,6
2017-12-21,22.74889,0.00296,8
2017-12-22,22.83535,0.0038,7
2017-12-26,22.94102,0.00463,3
2017-12-27,22.97945,0.00167,1
2017-12-28,22.91412,-0.00284,6
2017-12-29,22.77001,-0.00629,4
2018-01-02,23.05823,0.01266,8
2018-01-03,23.529,0.02042,8
2018-01-04,23.86527,0.01429,6
2018-01-05,24.13428,0.01127,10
2018-01-08,24.30722,0.00717,5
2018-01-09,24.38408,0.00316,11
2018-01-10,24.5378,0.0063,8
2018-01-11,24.75878,0.00901,8
2018-01-12,25.15269,0.01591,5
2018-01-16,25.56582,0.01642,9
2018-01-17,25.9309,0.01428,9
2018-01-18,25.86365,-0.00259,3
2018-01-19,26.19031,0.01263,6
2018-01-22,26.22874,0.00147,7
2018-01-23,26.3056,0.00293,7
2018-01-24,26.07501,-0.00877,6
2018-01-25,25.9309,-0.00553,7
2018-01-26,26.20952,0.01074,6
2018-01-29,26.03659,-0.0066,13
2018-01-30,25.47935,-0.0214,12
2018-01-31,25.43131,-0.00189,12
2018-02-01,25.62346,0.00756,5
2018-02-02,24.93171,-0.027,10
2018-02-05,23.45214,-0.05934,13
2018-02-06,24.00938,0.02376,6
2018-02-07,23.8941,-0.0048,14
2018-02-08,22.87569,-0.04262,10
2018-02-09,22.97177,0.0042,12
2018-02-12,23.40411,0.01882,9
2018-02-13,23.12549,-0.0119,13
2018-02-14,23.45214,0.01413,14
2018-02-15,23.81723,0.01557,10
2018-02-16,23.81723,0.0,13
2018-02-20,23.69233,-0.00524,13
2018-02-21,23.71155,0.00081,10
2018-02-22,23.74998,0.00162,13
2018-02-23,24.019,0.01133,20
2018-02-26,24.23997,0.0092,16
2018-02-27,24.04782,-0.00793,16
2018-02-28,23.67312,-0.01558,12
2018-03-01,23.0198,-0.0276,18
2018-03-02,23.2696,0.01085,16
2018-03-05,23.28881,0.00083,11
2018-03-06,23.73077,0.01898,7
2018-03-07,23.42332,-0.01296,13
2018-03-08,23.58665,0.00697,8
2018-03-09,23.91331,0.01385,5
2018-03-12,24.07664,0.00683,11
2018-03-13,23.96135,-0.00479,10
2018-03-14,24.11507,0.00642,9
2018-03-15,24.22075,0.00438,4
2018-03-16,24.00938,-0.00873,8
2018-03-19,23.53861,-0.01961,4
2018-03-20,23.49058,-0.00204,7
2018-03-21,23.47136,-0.00082,8
2018-03-22,23.19274,-0.01187,10
2018-03-23,22.44335,-0.03231,14
2018-03-26,23.08706,0.02868,10
2018-03-27,22.74118,-0.01498,10
2018-03-28,22.75079,0.00042,13
2018-03-29,23.24078,0.02154,15
2018-04-02,22.68354,-0.02398,8
2018-04-03,22.80844,0.00551,7
2018-04-04,22.46256,-0.01516,7
2018-04-05,22.57785,0.00513,10
2018-04-06,22.04943,-0.0234,6
2018-04-09,22.0014,-0.00218,11
2018-04-10,22.62589,0.02838,13
2018-04-11,22.77961,0.00679,14
2018-04-12,22.85648,0.00337,13
2018-04-13,22.83726,-0.00084,8
2018-04-16,22.8853,0.0021,10
2018-04-17,23.16392,0.01217,13
2018-04-18,23.50979,0.01493,10
2018-04-19,23.34646,-0.00695,14
2018-04-20,23.11588,-0.00988,14
2018-04-23,22.92373,-0.00831,22
2018-04-24,22.74118,-0.00796,5
2018-04-25,22.40491,-0.01479,11
2018-04-26,22.53942,0.006,18
2018-04-27,22.28962,-0.01108,16
2018-04-30,22.19355,-0.00431,9
2018-05-01,22.1359,-0.0026,12
2018-05-02,22.06865,-0.00304,8
2018-05-03,22.11669,0.00218,10
2018-05-04,22.31845,0.00912,8
2018-05-07,22.47217,0.00689,12
2018-05-08,22.6355,0.00727,14
2018-05-09,22.65471,0.00085,14
